"","STRUCTURE","STRUCTURE_ID","STRUCTURE_NAME","ACTION","LOCATION","country_name","INDICATOR","MEASURE","Measure","INEQUALITY","Inequality","OBS_STATUS","UNIT_MEASURE","Unit.of.Measures","UNIT_MULT","Multiplier","social_support","life_satisfaction"
"1","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","AUS","Australia","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",93,NA
"2","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","AUT","Austria","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",92,NA
"3","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","BEL","Belgium","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",90,NA
"4","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","CAN","Canada","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",93,NA
"5","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","CZE","Czechia","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",96,NA
"6","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","DNK","Denmark","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",95,NA
"7","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","FIN","Finland","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",96,NA
"8","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","FRA","France","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",94,NA
"9","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","DEU","Germany","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",90,NA
"10","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","GRC","Greece","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",78,NA
"11","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","HUN","Hungary","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",94,NA
"12","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","ISL","Iceland","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",98,NA
"13","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","IRL","Ireland","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",96,NA
"14","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","ITA","Italy","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",89,NA
"15","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","JPN","Japan","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",89,NA
"16","DATAFLOW","OECD:DF_BLI(1.0)","Better Life Index","I","KOR","Korea","SC_SNTWS","L","Value","TOT","Total","A","PC","Percentage",0,"Units",80,NA
