"happy","goodlife","satfin","degree","realinc","age","sex","polviews"
3,NA,3,3,18951,23,"female",NA
3,NA,2,0,24366,70,"male",NA
2,NA,1,1,24366,48,"female",NA
3,NA,3,3,30458,27,"female",NA
2,NA,1,1,50763,61,"female",NA
2,NA,2,1,43994,26,"male",NA
3,NA,2,1,37226,28,"male",NA
3,NA,3,3,13537,27,"male",NA
2,NA,2,1,2707,21,"female",NA
2,NA,3,1,18951,30,"female",NA
2,NA,3,1,13537,30,"female",NA
2,NA,1,0,13537,56,"male",NA
2,NA,1,0,13537,54,"male",NA
3,NA,2,0,13537,49,"female",NA
1,NA,1,0,18951,41,"male",NA
3,NA,2,1,13537,54,"male",NA
1,NA,1,1,24366,24,"male",NA
1,NA,1,0,18951,62,"female",NA
1,NA,2,3,43994,46,"female",NA
1,NA,1,1,50763,21,"female",NA
1,NA,1,1,37226,57,"male",NA
1,NA,1,1,60915,58,"male",NA
1,NA,1,1,13537,21,"male",NA
1,NA,3,1,18951,26,"female",NA
2,NA,1,3,30458,71,"female",NA
1,NA,1,1,30458,53,"female",NA
2,NA,2,1,30458,42,"male",NA
2,NA,2,1,30458,42,"female",NA
2,NA,2,1,NA,20,"male",NA
2,NA,2,0,30458,23,"male",NA
2,NA,2,0,24366,26,"male",NA
1,NA,3,1,24366,25,"female",NA
2,NA,1,3,30458,26,"male",NA
1,NA,1,0,2707,78,"female",NA
1,NA,1,1,13537,21,"male",NA
3,NA,2,1,30458,27,"male",NA
1,NA,1,1,50763,58,"female",NA
2,NA,1,0,30458,35,"female",NA
3,NA,1,0,18951,58,"male",NA
2,NA,2,1,13537,51,"female",NA
1,NA,1,0,2707,76,"female",NA
3,NA,3,1,30458,53,"male",NA
2,NA,1,0,13537,39,"male",NA
1,NA,1,0,18951,64,"female",NA
2,NA,2,0,74452,50,"female",NA
1,NA,1,1,NA,27,"female",NA
2,NA,1,1,60915,25,"male",NA
2,NA,1,1,18951,49,"male",NA
1,NA,2,0,30458,40,"male",NA
2,NA,2,0,60915,43,"male",NA
2,NA,3,0,13537,46,"male",NA
1,NA,3,1,30458,37,"male",NA
1,NA,2,0,18951,46,"male",NA
1,NA,2,1,30458,22,"female",NA
1,NA,1,0,43994,53,"female",NA
2,NA,2,1,37226,35,"male",NA
2,NA,3,1,60915,31,"female",NA
2,NA,3,1,37226,30,"female",NA
1,NA,1,1,37226,37,"female",NA
1,NA,1,0,60915,57,"female",NA
1,NA,3,1,13537,39,"male",NA
2,NA,2,0,13537,62,"female",NA
2,NA,2,1,13537,51,"male",NA
2,NA,2,0,13537,43,"male",NA
1,NA,2,1,30458,39,"male",NA
2,NA,1,0,24366,52,"female",NA
2,NA,3,1,30458,30,"male",NA
1,NA,3,1,NA,47,"female",NA
2,NA,1,1,30458,31,"female",NA
2,NA,3,3,18951,25,"male",NA
2,NA,3,0,43994,45,"male",NA
2,NA,2,1,24366,30,"female",NA
2,NA,2,0,8122,68,"male",NA
3,NA,1,0,24366,63,"female",NA
2,NA,3,1,43994,19,"male",NA
2,NA,2,3,37226,23,"male",NA
2,NA,1,0,43994,46,"female",NA
3,NA,3,0,24366,55,"female",NA
1,NA,2,1,74452,22,"male",NA
2,NA,1,1,30458,55,"female",NA
2,NA,3,0,43994,44,"male",NA
2,NA,2,1,43994,41,"female",NA
1,NA,1,1,43994,49,"male",NA
1,NA,2,1,NA,28,"female",NA
2,NA,2,1,8122,21,"male",NA
1,NA,2,3,30458,26,"male",NA
2,NA,3,4,18951,31,"female",NA
2,NA,2,4,13537,28,"female",NA
1,NA,3,3,18951,26,"male",NA
2,NA,3,1,2707,20,"female",NA
1,NA,1,3,30458,25,"male",NA
2,NA,2,1,30458,57,"female",NA
2,NA,1,1,37226,58,"female",NA
1,NA,1,1,37226,54,"male",NA
1,NA,2,3,30458,35,"female",NA
1,NA,2,1,43994,40,"male",NA
1,NA,1,1,74452,57,"male",NA
1,NA,1,1,24366,64,"female",NA
1,NA,1,1,43994,34,"male",NA
2,NA,1,1,30458,25,"female",NA
1,NA,2,0,24366,28,"male",NA
2,NA,2,1,18951,41,"male",NA
1,NA,2,1,8122,36,"female",NA
1,NA,1,1,60915,31,"male",NA
2,NA,2,1,43994,45,"male",NA
2,NA,1,0,8122,74,"female",NA
2,NA,2,1,18951,64,"female",NA
2,NA,3,1,8122,23,"female",NA
1,NA,1,3,8122,27,"female",NA
3,NA,3,1,2707,42,"male",NA
3,NA,2,0,13537,47,"male",NA
2,NA,3,1,2707,26,"male",NA
2,NA,2,0,8122,34,"female",NA
2,NA,2,0,24366,52,"male",NA
2,NA,2,1,30458,24,"male",NA
2,NA,3,1,2707,36,"female",NA
2,NA,2,0,8122,25,"male",NA
3,NA,3,0,8122,46,"female",NA
2,NA,2,0,13537,54,"female",NA
2,NA,2,1,8122,27,"female",NA
2,NA,2,0,8122,20,"female",NA
1,NA,1,0,24366,53,"male",NA
3,NA,3,0,13537,47,"male",NA
1,NA,1,0,13537,70,"male",NA
1,NA,1,0,50763,69,"female",NA
2,NA,1,0,37226,49,"female",NA
2,NA,3,3,NA,29,"female",NA
3,NA,3,1,NA,48,"female",NA
2,NA,2,0,18951,67,"female",NA
3,NA,1,1,37226,22,"male",NA
3,NA,2,0,18951,75,"male",NA
2,NA,2,1,50763,38,"male",NA
2,NA,1,1,60915,46,"male",NA
1,NA,1,0,18951,63,"female",NA
2,NA,2,0,30458,34,"female",NA
2,NA,1,0,30458,57,"male",NA
2,NA,3,1,24366,22,"female",NA
1,NA,2,0,18951,46,"male",NA
2,NA,1,0,13537,73,"female",NA
2,NA,2,1,2707,73,"male",NA
2,NA,2,1,30458,53,"male",NA
2,NA,1,1,2707,84,"female",NA
3,NA,3,1,24366,27,"male",NA
2,NA,1,0,8122,69,"female",NA
2,NA,3,0,2707,82,"female",NA
2,NA,2,3,13537,67,"female",NA
2,NA,3,1,13537,41,"male",NA
2,NA,3,0,2707,72,"male",NA
2,NA,2,0,18951,38,"male",NA
1,NA,1,1,30458,59,"female",NA
1,NA,1,1,60915,42,"male",NA
2,NA,2,1,30458,48,"male",NA
1,NA,1,0,13537,59,"female",NA
2,NA,2,0,24366,39,"female",NA
2,NA,2,1,8122,49,"female",NA
2,NA,3,1,30458,33,"female",NA
2,NA,2,0,13537,53,"female",NA
1,NA,3,1,24366,30,"female",NA
2,NA,3,1,24366,25,"male",NA
2,NA,3,0,13537,36,"female",NA
2,NA,2,1,37226,30,"male",NA
2,NA,3,0,13537,28,"male",NA
2,NA,1,0,43994,52,"male",NA
1,NA,1,0,30458,44,"male",NA
2,NA,1,4,24366,50,"male",NA
1,NA,1,3,37226,38,"female",NA
2,NA,2,3,13537,26,"male",NA
1,NA,1,1,18951,28,"female",NA
1,NA,2,1,18951,81,"female",NA
1,NA,3,1,30458,55,"female",NA
1,NA,2,0,24366,76,"male",NA
2,NA,2,1,43994,29,"male",NA
1,NA,3,0,2707,19,"male",NA
2,NA,2,0,13537,76,"female",NA
2,NA,2,4,30458,61,"male",NA
2,NA,2,3,37226,26,"male",NA
2,NA,3,1,18951,39,"female",NA
3,NA,2,0,18951,19,"male",NA
1,NA,2,3,8122,26,"female",NA
2,NA,2,1,8122,21,"female",NA
1,NA,1,0,18951,45,"female",NA
2,NA,3,1,8122,27,"female",NA
1,NA,1,0,2707,76,"male",NA
2,NA,2,0,13537,63,"female",NA
2,NA,2,0,18951,52,"male",NA
2,NA,2,0,13537,65,"male",NA
3,NA,2,0,13537,59,"male",NA
2,NA,2,1,NA,26,"male",NA
1,NA,1,3,NA,41,"female",NA
2,NA,1,4,NA,56,"male",NA
3,NA,2,1,50763,62,"male",NA
1,NA,2,4,50763,29,"male",NA
1,NA,1,3,60915,25,"female",NA
1,NA,1,1,50763,41,"female",NA
2,NA,2,0,NA,21,"female",NA
2,NA,2,1,30458,49,"female",NA
1,NA,1,0,43994,38,"male",NA
1,NA,1,1,43994,50,"male",NA
2,NA,2,1,30458,43,"male",NA
2,NA,3,1,24366,32,"male",NA
2,NA,3,1,13537,55,"female",NA
1,NA,3,2,30458,27,"female",NA
2,NA,1,1,43994,56,"male",NA
1,NA,1,0,74452,48,"female",NA
2,NA,1,0,24366,56,"male",NA
1,NA,3,0,18951,44,"female",NA
2,NA,3,0,8122,25,"female",NA
2,NA,2,0,30458,32,"male",NA
1,NA,1,1,74452,33,"female",NA
1,NA,3,0,30458,48,"male",NA
2,NA,2,1,24366,45,"male",NA
3,NA,3,0,24366,45,"female",NA
1,NA,1,0,2707,72,"male",NA
2,NA,3,0,8122,45,"female",NA
3,NA,3,0,8122,70,"female",NA
2,NA,3,1,24366,31,"female",NA
2,NA,3,1,8122,20,"male",NA
2,NA,3,0,2707,22,"female",NA
2,NA,2,0,8122,63,"male",NA
2,NA,2,0,8122,70,"male",NA
1,NA,2,0,13537,68,"male",NA
1,NA,1,1,NA,43,"female",NA
2,NA,2,4,60915,53,"female",NA
2,NA,3,1,NA,44,"female",NA
2,NA,2,1,37226,37,"female",NA
2,NA,2,1,NA,55,"male",NA
1,NA,1,1,60915,52,"male",NA
2,NA,1,0,60915,64,"male",NA
2,NA,3,1,43994,NA,"male",NA
2,NA,3,0,18951,64,"male",NA
2,NA,3,3,24366,27,"female",NA
1,NA,3,1,30458,28,"male",NA
2,NA,3,1,2707,22,"male",NA
1,NA,1,1,37226,61,"female",NA
3,NA,1,1,13537,82,"female",NA
1,NA,1,1,2707,22,"male",NA
1,NA,1,0,37226,30,"female",NA
1,NA,2,1,18951,29,"female",NA
1,NA,2,0,13537,60,"male",NA
1,NA,2,0,2707,39,"female",NA
2,NA,3,0,2707,21,"female",NA
2,NA,1,0,NA,56,"male",NA
2,NA,1,0,2707,72,"male",NA
2,NA,2,0,13537,61,"male",NA
2,NA,1,4,NA,71,"male",NA
3,NA,2,0,8122,56,"female",NA
1,NA,2,0,NA,71,"female",NA
1,NA,1,1,60915,48,"male",NA
1,NA,1,1,43994,43,"female",NA
1,NA,1,1,13537,61,"female",NA
2,NA,1,1,18951,70,"male",NA
1,NA,2,0,30458,48,"female",NA
1,NA,2,1,24366,34,"female",NA
3,NA,3,1,18951,19,"male",NA
1,NA,2,0,NA,52,"female",NA
3,NA,1,1,43994,30,"male",NA
2,NA,2,1,30458,60,"male",NA
2,NA,2,3,50763,50,"male",NA
2,NA,1,1,30458,47,"female",NA
2,NA,2,0,18951,50,"female",NA
2,NA,3,0,2707,68,"female",NA
1,NA,1,1,24366,50,"male",NA
3,NA,3,0,NA,21,"male",NA
2,NA,3,0,2707,72,"female",NA
3,NA,3,1,13537,52,"male",NA
1,NA,1,1,30458,32,"female",NA
1,NA,1,1,30458,52,"male",NA
1,NA,1,1,13537,60,"female",NA
2,NA,3,0,24366,32,"male",NA
2,NA,2,0,2707,60,"female",NA
2,NA,2,0,2707,80,"female",NA
2,NA,2,0,37226,58,"male",NA
2,NA,2,1,30458,36,"female",NA
2,NA,2,1,37226,31,"female",NA
1,NA,2,3,50763,30,"male",NA
1,NA,1,1,74452,63,"male",NA
2,NA,2,1,43994,34,"male",NA
2,NA,2,1,30458,29,"female",NA
3,NA,2,0,24366,36,"female",NA
2,NA,3,1,18951,39,"female",NA
3,NA,3,0,13537,73,"male",NA
3,NA,3,0,24366,38,"male",NA
2,NA,2,1,37226,55,"male",NA
2,NA,1,1,60915,30,"male",NA
1,NA,2,1,8122,44,"female",NA
2,NA,1,0,30458,43,"female",NA
3,NA,1,0,30458,38,"male",NA
2,NA,2,1,18951,44,"female",NA
2,NA,3,0,2707,75,"female",NA
1,NA,1,4,50763,43,"male",NA
2,NA,3,0,24366,43,"female",NA
1,NA,3,1,24366,27,"male",NA
1,NA,1,0,30458,58,"male",NA
1,NA,1,1,37226,45,"male",NA
1,NA,2,1,30458,31,"male",NA
1,NA,3,1,18951,23,"female",NA
1,NA,2,0,13537,69,"male",NA
2,NA,2,0,8122,35,"female",NA
2,NA,2,1,8122,43,"female",NA
3,NA,3,0,13537,56,"female",NA
3,NA,3,1,8122,36,"female",NA
1,NA,3,0,NA,47,"female",NA
2,NA,2,1,24366,29,"male",NA
2,NA,2,1,24366,60,"male",NA
1,NA,2,0,24366,37,"female",NA
1,NA,2,1,13537,20,"male",NA
2,NA,1,0,24366,55,"female",NA
2,NA,3,0,2707,71,"female",NA
2,NA,1,1,13537,30,"male",NA
2,NA,3,0,8122,59,"female",NA
1,NA,1,1,24366,42,"female",NA
1,NA,2,1,8122,55,"female",NA
3,NA,1,1,8122,24,"male",NA
3,NA,3,0,2707,30,"male",NA
1,NA,1,0,8122,70,"male",NA
2,NA,1,0,8122,43,"female",NA
3,NA,2,0,30458,45,"male",NA
2,NA,1,3,24366,25,"male",NA
3,NA,3,0,8122,37,"female",NA
2,NA,2,1,50763,22,"male",NA
3,NA,2,0,37226,27,"female",NA
2,NA,2,4,50763,28,"female",NA
1,NA,1,1,50763,42,"male",NA
2,NA,2,0,8122,42,"female",NA
2,NA,2,1,50763,30,"male",NA
2,NA,1,1,50763,40,"female",NA
1,NA,1,4,50763,37,"male",NA
2,NA,1,3,60915,24,"female",NA
1,NA,1,1,37226,46,"male",NA
2,NA,3,1,37226,53,"female",NA
2,NA,3,1,18951,64,"male",NA
1,NA,1,1,37226,20,"female",NA
1,NA,1,0,24366,60,"male",NA
2,NA,1,3,37226,33,"male",NA
2,NA,2,3,18951,70,"female",NA
1,NA,1,0,37226,60,"male",NA
1,NA,1,0,30458,26,"female",NA
3,NA,2,0,8122,74,"female",NA
1,NA,1,0,50763,33,"female",NA
2,NA,2,0,2707,23,"female",NA
2,NA,2,0,13537,19,"male",NA
3,NA,2,0,13537,59,"female",NA
2,NA,2,0,8122,70,"female",NA
2,NA,2,0,18951,52,"male",NA
3,NA,3,0,2707,NA,"female",NA
1,NA,1,0,2707,75,"male",NA
1,NA,1,0,NA,49,"female",NA
2,NA,2,0,30458,49,"male",NA
2,NA,2,0,30458,46,"male",NA
2,NA,2,1,13537,45,"female",NA
2,NA,2,3,18951,28,"female",NA
3,NA,2,1,24366,23,"male",NA
2,NA,2,1,43994,64,"male",NA
2,NA,3,1,13537,33,"female",NA
1,NA,2,0,13537,69,"female",NA
2,NA,2,0,13537,72,"male",NA
2,NA,2,0,13537,59,"male",NA
1,NA,1,0,8122,69,"female",NA
2,NA,1,0,13537,58,"female",NA
2,NA,2,0,8122,53,"male",NA
1,NA,1,0,8122,62,"male",NA
2,NA,3,0,8122,58,"male",NA
2,NA,3,1,13537,32,"female",NA
2,NA,2,1,13537,58,"female",NA
2,NA,2,1,2707,70,"female",NA
